Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-APRIL-2025,NDJ,NHS ENGLAND SOUTH EAST ,FIRST COMMUNITY HEALTH AND CARE CIC,0,0,2350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2025,NTV0B,NHS ENGLAND SOUTH EAST ,ASHFORD WALK-IN-CENTRE,0,0,2333,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2025,NTV0W,NHS ENGLAND SOUTH EAST ,WOKING WALK IN CENTRE,0,0,2528,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2025,Y02615,NHS ENGLAND MIDLANDS ,SOUTH BIRMINGHAM GP WALK IN CENTRE,0,0,6628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2025,AQN04,NHS ENGLAND SOUTH EAST ,PHL LYMINGTON UTC,0,0,3297,0,0,12,0,0,42,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2025,C82038,NHS ENGLAND MIDLANDS ,LATHAM HOUSE MEDICAL PRACTICE,0,0,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2025,NQTE4,NHS ENGLAND MIDLANDS ,SUMMERFIELD URGENT CARE CENTRE,0,0,3055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2025,RBQ,NHS ENGLAND NORTH WEST ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130
MSitAE-APRIL-2025,RCD,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,4918,0,969,302,0,32,1081,0,1,63,0,0,185,2,1095,0,0,264
MSitAE-APRIL-2025,RJ8,NHS ENGLAND SOUTH WEST ,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,79
MSitAE-APRIL-2025,RTP,NHS ENGLAND SOUTH EAST ,SURREY AND SUSSEX HEALTHCARE NHS TRUST,10067,0,0,0,0,0,3783,0,0,0,0,0,507,609,3107,0,0,751
MSitAE-APRIL-2025,RW1,NHS ENGLAND SOUTH EAST ,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,0,0,2866,0,0,0,0,0,70,0,0,0,0,0,0,0,3,167
MSitAE-APRIL-2025,RWY,NHS ENGLAND NORTH EAST AND YORKSHIRE ,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,15871,0,0,0,0,0,2746,0,0,0,0,0,944,24,2812,0,0,181
MSitAE-APRIL-2025,RY7,NHS ENGLAND NORTH WEST ,WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,0,0,4134,0,0,0,0,0,265,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2025,Y02428,NHS ENGLAND EAST OF ENGLAND ,PUTNOE WALK IN CENTRE,0,0,2729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2025,Y02532,NHS ENGLAND NORTH WEST ,MIRIAM MINOR EMERGENCY,0,0,1583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2025,NL7,NHS ENGLAND MIDLANDS ,ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),0,0,3148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2025,NQT5F,NHS ENGLAND NORTH WEST ,SKELMERSDALE WALK IN CENTRE,0,0,1730,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2025,NQT5H,NHS ENGLAND SOUTH WEST ,PAULTON MEMORIAL HOSPITAL,0,0,913,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2025,RDY,NHS ENGLAND SOUTH WEST ,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
MSitAE-APRIL-2025,RGP,NHS ENGLAND EAST OF ENGLAND ,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,7431,0,1387,0,0,0,3244,0,0,0,0,0,615,344,1655,0,0,429
