Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-DECEMBER-2025,AQN04,NHS ENGLAND SOUTH EAST ,PHL LYMINGTON UTC,0,0,2758,0,0,17,0,0,31,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2025,NQTE4,NHS ENGLAND MIDLANDS ,SUMMERFIELD URGENT CARE CENTRE,0,0,3033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2025,RBQ,NHS ENGLAND NORTH WEST ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186
MSitAE-DECEMBER-2025,RNU,NHS ENGLAND SOUTH EAST ,OXFORD HEALTH NHS FOUNDATION TRUST,0,0,3444,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2025,Y02676,NHS ENGLAND SOUTH EAST ,BRIGHTON STATION HEALTH CENTRE,0,0,1871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2025,AJN,NHS ENGLAND NORTH EAST AND YORKSHIRE ,WORKINGTON HEALTH LIMITED,0,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2025,C82038,NHS ENGLAND MIDLANDS ,LATHAM HOUSE MEDICAL PRACTICE,0,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2025,G3P9C,NHS ENGLAND SOUTH WEST ,TROWBRIDGE MINOR INJURIES UNIT,0,0,993,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2025,NQT1I,NHS ENGLAND SOUTH WEST ,CHIPPENHAM COMMUNITY HOSPITAL,0,0,1364,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2025,NQT5H,NHS ENGLAND SOUTH WEST ,PAULTON MEMORIAL HOSPITAL,0,0,1010,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2025,NTV0B,NHS ENGLAND SOUTH EAST ,ASHFORD WALK-IN-CENTRE,0,0,2358,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2025,NTV0W,NHS ENGLAND SOUTH EAST ,WOKING WALK IN CENTRE,0,0,2599,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0
